,Label UTC
0,2015-03-16 00:59:00
1,2015-03-16 01:00:00
2,2015-03-16 01:01:00
3,2015-03-16 01:02:00
4,2015-03-16 01:03:00
5,2015-03-16 01:04:00
6,2015-03-16 01:05:00
7,2015-03-16 01:06:00
8,2015-03-16 01:07:00
9,2015-03-16 01:08:00
10,2015-03-16 01:09:00
11,2015-03-16 01:10:00
12,2015-03-16 01:11:00
13,2015-03-16 01:12:00
14,2015-03-16 01:13:00
15,2015-03-16 01:14:00
16,2015-03-16 01:15:00
17,2015-03-16 01:16:00
18,2015-03-16 01:17:00
19,2015-03-16 01:18:00
20,2015-03-16 01:19:00
21,2015-03-16 01:20:00
22,2015-03-16 01:21:00
23,2015-03-16 01:22:00
24,2015-03-16 01:23:00
25,2015-03-16 01:24:00
26,2015-03-16 01:25:00
27,2015-03-16 01:26:00
28,2015-03-16 01:27:00
29,2015-03-16 01:28:00
